Primary Impacted Content,Component ID,Component Title,Action Taken,Content Changed,CC Link to Content,Date of Change,Action Completed By,Forum Disabled?,Location of temp. removed content
Course,1087,Introduction to OWASP Top 10 Security Risks,Paid,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,5ad69345-9958-48e0-b3df-5a436b3eddeb,Cloud Security Fundamentals,Paid,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,awskw001,AWS Identity and Access Management (IAM) Concepts,Paid,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,d8a92be0-dbab-4498-a2af-375a7a591ae8,CloudFormation Deep Dive,Paid,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,871c7714-6ba7-46f9-9458-b60c779e5a18,Building a Full-stack serverless application on AWS,Paid,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,1085,Introduction to Governance and Compliance on AWS,Paid,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,1095,Introduction to Amazon Cognito,Paid,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,1073,Introduction to Networking on Azure,Free,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,1066,Introduction to Azure Virtual Desktop,Free,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,37ba95de-6a6e-41e4-82bf-528f39313f0d,Establishing an Organization on Google Cloud Platform,Free,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,1070,Hands-On with Dataflow,Free,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,1094,Building a Continuous Integration Pipeline with Travis CI,Free,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,1041,Hands-on with Podman Containers on Linux,Free,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,1082,Designing Applications for Kubernetes,Free,Set Courses to Free/Paid,N/A,01/03/22,Angela Fisher,
Course,az-900-microsoft-azure-fundamentals,AZ-900 Microsoft Azure Fundamentals (Platinum),Remove,Remove lab from course.,Create Azure Blob Storage and Upload a Blob,01/04/22,Angela Fisher,
Course,1007,AZ-204: Developing Solutions for Microsoft Azure (Gold),Remove,Remove lab from course.,Create Azure Blob Storage and Upload a Blob,01/04/22,Angela Fisher,
Course,azbcd001,Intro to Azure for AWS Admins (Bronze),Remove,Remove lab from course.,Create Azure Blob Storage and Upload a Blob,01/04/22,Angela Fisher,
Course,1066,Introduction to Azure Virtual Desktop,Paid,Set Courses to Free/Paid,N/A,02/01/22,Angela Fisher,
Course,37ba95de-6a6e-41e4-82bf-528f39313f0d,Establishing an Organization on Google Cloud Platform,Paid,Set Courses to Free/Paid,N/A,02/01/22,Angela Fisher,
Course,1070,Hands-On with Dataflow,Paid,Set Courses to Free/Paid,N/A,02/01/22,Angela Fisher,
Course,1094,Building a Continuous Integration Pipeline with Travis CI,Paid,Set Courses to Free/Paid,N/A,02/01/22,Angela Fisher,
Course,1063,Introduction to AWS Marketplace,Free,Set Courses to Free/Paid,N/A,02/01/22,Angela Fisher,
